x,y
33.36629949,256.9977615
33.94462649,256.0067675
34.53286649,255.0161788
35.13118458,254.0259331
35.73974844,253.035969
36.35872841,252.0462268
36.98829751,251.0566475
37.62863151,250.0671739
38.27990893,249.0777495
38.94231109,248.0883194
39.61602217,247.0988299
40.30122922,246.1092285
40.99812225,245.1194637
41.70689421,244.1294857
42.42774108,243.1392455
43.16086189,242.1486955
43.90645876,241.1577895
44.66473697,240.1664822
45.43590498,239.1747297
46.22017448,238.1824894
47.01776044,237.1897199
47.82888116,236.1963808
48.65375828,235.2024332
49.49261691,234.2078392
50.34568557,233.2125625
51.21319633,232.2165675
52.0953848,231.2198202
52.99249022,230.2222877
53.90475548,229.2239383
54.83242717,228.2247416
55.77575565,227.2246684
56.73499511,226.2236905
57.71040357,225.2217813
58.70224304,224.2189157
59.71078539,223.2151645
60.73631941,222.2107939
61.77914085,221.2060903
62.83955102,220.2013357
63.91785697,219.1968075
65.01437151,218.1927788
66.12941343,217.1895179
67.26330754,216.1872888
68.41638486,215.1863509
69.58898273,214.1869593
70.78144492,213.1893644
71.99412178,212.1938124
73.22737041,211.2005448
74.48155473,210.209799
75.75704571,209.2218077
77.05422144,208.2367995
78.37346734,207.2549986
79.71517628,206.2766249
81.07974877,205.3018942
82.46759307,204.3310177
83.87912541,203.364203
85.31477015,202.401653
86.77495992,201.443567
88.26013582,200.4901399
89.77074763,199.5415628
91.30725393,198.5980229
92.87012236,197.6597034
94.45982976,196.7267837
96.07686241,195.7994394
97.72171622,194.8778426
99.39489691,193.9621613
101.0969203,193.0525604
102.8283124,192.149201
104.5896097,191.2522406
106.3813597,190.3618335
108.2041203,189.4781306
110.0584612,188.6012795
111.9449631,187.7314247
113.8642186,186.8687073
115.8168323,186.0132655
117.8034208,185.1652345
119.8246133,184.3247465
121.8810519,183.4919309
123.9733915,182.6669142
126.1023005,181.8498203
128.2684609,181.0407704
130.4725685,180.2398831
132.7153337,179.4472746
134.9974811,178.6630586
137.3197503,177.8873464
139.6828877,177.1202006
142.0876096,176.3614408
144.5346298,175.6108118
147.0246733,174.8680622
149.5584769,174.1329448
152.1367888,173.4052159
154.7603693,172.6846358
157.4299905,171.9709685
160.1464368,171.2639813
162.910505,170.5634455
165.7230041,169.8691354
168.5847561,169.1808289
171.4965956,168.4983072
174.4593702,167.8213548
177.4739407,167.1497591
180.5411813,166.4833111
183.6619795,165.8218045
186.8372366,165.165036
190.0678676,164.5128056
193.3548017,163.8649158
196.698982,163.2211724
200.1013661,162.5813835
203.5629261,161.9453605
207.0846489,161.3129172
210.667536,160.6838702
214.3126043,160.0580388
218.0208855,159.4352449
221.7934271,158.8153131
225.631292,158.1980703
229.5355589,157.5833462
233.5073296,156.9709879
237.5477499,156.3608992
241.6579904,155.752998
245.8392412,155.147203
250.0927122,154.5434345
254.4196335,153.9416135
258.8212551,153.3416626
263.2988482,152.7435052
267.8537048,152.1470661
272.4871382,151.5522711
277.2004835,150.959047
281.9950978,150.3673218
286.8723606,149.7770248
291.8336741,149.1880862
296.8804636,148.6004372
302.0141778,148.0140104
307.2362894,147.4287391
312.548295,146.8445579
317.9517161,146.2614024
323.4480989,145.6792094
329.0390151,145.0979166
334.726062,144.5174627
340.5108631,143.9377876
346.3950686,143.3588323
352.3803554,142.7805385
358.4684278,142.2028494
364.6610182,141.6257088
370.9598869,141.0490619
377.366823,140.4728547
383.8836447,139.8970342
390.5121998,139.3215486
397.2543659,138.746347
404.1120514,138.1713796
411.0871954,137.5965974
418.1817685,137.0219528
425.3977732,136.4473988
432.7372443,135.8728898
440.2022497,135.2983808
447.7948903,134.7238282
455.5173012,134.1491891
463.3716519,133.5744218
471.3601466,132.9994856
479.4850252,132.4243407
487.7485634,131.8489483
496.1530736,131.2732707
504.7009052,130.6972713
513.3944451,130.1209142
522.2361188,129.5441647
531.2283902,128.9669892
540.3737627,128.3893548
549.6747799,127.81123
559.1340255,127.2325839
568.7541248,126.6533868
578.5377446,126.0736101
588.4875943,125.4932261
598.6064262,124.912208
608.8970363,124.3305302
619.3622649,123.7481679
630.0049974,123.1650975
640.8281648,122.5812963
